month,cpi,cpi_ate,cpixe,trimmed_mean,weighted_median
2006-01,1.8,0.8,1.3,1.6,1.7
2006-02,2.6,1.0,1.4,1.7,1.8
2006-03,2.3,0.8,1.4,1.5,1.6
2006-04,2.7,0.8,1.3,1.5,1.8
2006-05,2.3,0.8,1.2,1.5,1.6
2006-06,2.2,0.8,1.3,1.5,1.7
2006-07,2.1,0.6,1.1,1.5,1.7
2006-08,1.9,0.2,0.9,1.3,2.1
2006-09,2.7,0.6,1.0,1.3,1.6
2006-10,2.7,0.7,1.2,1.4,2.3
2006-11,2.5,0.8,1.3,1.7,2.3
2006-12,2.2,0.9,1.4,1.6,1.9
2007-01,1.2,1.0,1.5,1.2,1.7
2007-02,0.7,1.1,1.5,1.1,1.7
2007-03,1.1,1.5,1.9,1.4,1.4
2007-04,0.2,1.3,1.8,1.2,1.3
2007-05,0.4,1.3,1.9,1.2,1.2
2007-06,0.4,1.2,1.7,1.1,1.1
2007-07,0.5,1.4,1.8,1.1,1.5
2007-08,0.4,1.9,2.3,1.5,1.6
2007-09,-0.4,1.7,2.1,1.6,1.8
2007-10,-0.2,1.4,1.9,1.6,1.5
2007-11,1.5,1.5,2.0,1.9,1.6
2007-12,2.8,1.8,2.3,2.6,2.2
2008-01,3.6,1.9,2.4,2.9,2.4
2008-02,3.8,2.2,2.8,3.1,2.3
2008-03,3.2,2.2,2.7,3.3,3.0
2008-04,3.2,2.3,3.0,3.4,3.1
2008-05,3.1,2.3,2.9,3.3,3.0
2008-06,3.4,2.5,3.0,3.5,3.4
2008-07,4.3,2.9,3.5,3.8,3.6
2008-08,4.5,2.7,3.4,3.6,3.1
2008-09,5.3,3.1,3.7,3.9,3.1
2008-10,5.4,3.4,3.6,4.0,3.2
2008-11,3.1,2.7,2.9,3.1,3.2
2008-12,2.2,2.7,2.8,2.7,2.9
2009-01,2.3,2.8,2.9,2.8,4.1
2009-02,2.5,3.0,3.0,3.0,4.0
2009-03,2.5,2.6,2.7,3.0,3.4
2009-04,2.9,2.9,2.7,3.0,3.5
2009-05,3.1,2.8,2.8,3.1,3.9
2009-06,3.4,3.3,3.3,3.3,3.7
2009-07,2.3,2.5,2.5,2.8,3.4
2009-08,1.9,2.4,2.3,2.2,3.1
2009-09,1.2,2.4,2.3,2.2,2.8
2009-10,0.7,2.0,2.0,1.9,2.7
2009-11,1.6,2.5,2.3,2.7,2.5
2009-12,2.0,2.4,2.4,2.7,2.3
2010-01,2.5,2.4,2.4,2.5,2.5
2010-02,2.9,1.9,2.1,2.5,3.0
2010-03,3.5,1.7,1.9,2.5,2.7
2010-04,3.3,1.6,2.0,2.3,2.5
2010-05,2.6,1.6,1.9,2.1,2.2
2010-06,1.9,1.3,1.6,1.9,2.4
2010-07,1.9,1.3,1.5,1.9,2.4
2010-08,1.9,1.3,1.6,1.9,2.8
2010-09,1.8,0.9,1.2,1.7,2.5
2010-10,2.1,1.0,1.3,1.9,2.6
2010-11,2.0,1.0,1.4,1.7,2.5
2010-12,2.8,1.1,1.5,1.8,2.6
2011-01,2.0,0.7,1.0,1.2,2.3
2011-02,1.2,0.8,1.1,1.1,2.1
