Date,Quote Currency,AUD,BDT,BGN,BRL,BYN,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HRK,HUF,I44,IDR,ILS,INR,ISK,JPY,KRW,MMK,MXN,MYR,NZD,PHP,PKR,PLN,RON,RUB,SEK,SGD,THB,TRY,TWD,TWI,USD,XDR,ZAR
1980-12-10,NOK,6.1025,,,,,4.3585,288.85,,,85.3,,12.21,,,,,,,,1.86,2.494,,,,,4.9827,,,,,,117.6,,,,,,5.2225,6.5839,
1980-12-11,NOK,6.1137,,,,,4.38,287.5,,,85.1,,12.28,,,,,,,,1.86,2.502,,,,,4.9949,,,,,,117.65,,,,,,5.2535,6.5799600000000025,
1980-12-12,NOK,6.1152,,,,,4.3675,287.45,,,85.05,,12.16,,,,,,,,1.86,2.503,,,,,4.9582,,,,,,117.3,,,,,,5.252999999999999,6.584639999999999,
1980-12-15,NOK,6.0413,,,,,4.3115,289.85,,,86.0,,12.105,,,,,,,,1.85,2.497,,,,,4.9152,,,,,,117.55,,,,,,5.181,6.5682100000000005,
1980-12-16,NOK,6.0551,,,,,4.301,285.75,,,84.55,,12.08,,,,,,,,1.85,2.479,,,,,4.9477,,,,,,116.7,,,,,,5.1995,6.5312,
1980-12-17,NOK,6.0646,,,,,4.309,285.6,,,84.45,,12.075,,,,,,,,1.85,2.485,,,,,4.9316,,,,,,116.5,,,,,,5.204,6.5437199999999995,
1980-12-18,NOK,6.0751,,,,,4.317,287.85,,,85.2,,12.1,,,,,,,,1.85,2.4859999999999998,,,,,4.9459,,,,,,117.2,,,,,,5.21,6.5679300000000005,
1980-12-19,NOK,6.0748,,,,,4.341,287.15,,,85.3,,12.12,,,,,,,,1.85,2.49,,,,,4.9229,,,,,,117.4,,,,,,5.2,6.5584,
1980-12-22,NOK,6.0616,,,,,4.3515,287.95,,,85.6,,12.175,,,,,,,,1.84,2.494,,,,,4.9199,,,,,,117.4,,,,,,5.178999999999999,6.568060000000001,
1980-12-23,NOK,6.0636,,,,,4.343,292.9,,,85.9,,12.245,,,,,,,,1.84,2.488,,,,,4.9254,,,,,,117.95,,,,,,5.165,6.59173,
1980-12-24,NOK,6.0768,,,,,4.3455,292.4,,,86.85,,12.3,,,,,,,,1.83,2.499,,,,,4.9465,,,,,,118.6,,,,,,5.1720000000000015,6.597919999999999,
1980-12-25,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,4.9465,,,,,,,,,,,,,,
1980-12-26,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,4.9465,,,,,,,,,,,,,,
1980-12-29,NOK,6.0898,,,,,4.3565,292.75,,,86.35,,12.305,,,,,,,,1.84,2.501,,,,,4.9635,,,,,,118.25,,,,,,5.18,6.58767,
1980-12-30,NOK,6.1016,,,,,4.3565,293.9,,,86.35,,12.27,,,,,,,,1.83,2.543,,,,,4.9608,,,,,,118.15,,,,,,5.165,6.59235,
1980-12-31,NOK,6.1186,,,,,4.352,293.15,,,86.2,,12.375,,,,,,,,1.81,2.556,,,,,4.9819,,,,,,118.35,,,,,,5.18,6.6066199999999995,
1981-01-01,NOK,,,,,,,,,,,,,,,,,,,,,,,,,,4.9819,,,,,,,,,,,,,,
1981-01-02,NOK,6.1343,,,,,4.3575,292.8,,,85.95,,12.38,,,,,,,,83.3,2.57,,,,,4.9968,,,,,,118.3,,,,,87.81,5.197,6.60923,
1981-01-05,NOK,6.1188,,,,,4.333,291.7,,,85.9,,12.365,,,,,,,,82.85,2.585,,,,,4.9678,,,,,,117.85,,,,,87.66,5.16,6.5999,
1981-01-06,NOK,6.0901,,,,,4.314,292.65,,,86.1,,12.455,,,,,,,,82.25,2.571,,,,,4.9521,,,,,,118.4,,,,,87.96,5.126,6.59347,
1981-01-07,NOK,6.0807,,,,,4.305,291.75,,,85.7,,12.38,,,,,,,,82.1,2.559,,,,,4.9489,,,,,,117.8,,,,,87.54,5.1145,6.565589999999999,
1981-01-08,NOK,6.1024,,,,,4.3235,289.65,,,85.25,,12.365,,,,,,,,82.5,2.56,,,,,4.9678,,,,,,117.6,,,,,87.29,5.1425,6.5682100000000005,
1981-01-09,NOK,6.0946,,,,,4.334,289.25,,,84.85,,12.34,,,,,,,,82.5,2.543,,,,,4.9527,,,,,,117.3,,,,,87.06,5.142,6.5577,
1981-01-12,NOK,6.0818,,,,,4.3425,288.25,,,85.0,,12.395,,,,,,,,82.55,2.544,,,,,4.9589,,,,,,117.4,,,,,87.16,5.1495,6.55655,
1981-01-13,NOK,6.1268,,,,,4.362,286.5,,,84.4,,12.4,,,,,,,,83.25,2.54,,,,,4.9839,,,,,,116.9,,,,,86.83,5.1925,6.572610000000001,
1981-01-14,NOK,6.1243,,,,,4.3665,287.05,,,84.55,,12.415,,,,,,,,83.05,2.551,,,,,4.976,,,,,,117.1,,,,,86.95,5.183,6.5758300000000025,
1981-01-15,NOK,6.1428,,,,,4.3605,286.75,,,84.45,,12.475,,,,,,,,83.25,2.565,,,,,5.004,,,,,,117.15,,,,,87.03,5.195,6.586010000000001,
1981-01-16,NOK,6.1885,,,,,4.4030000000000005,286.9,,,84.5,,12.565,,,,,,,,84.1,2.588,,,,,5.026,,,,,,117.5,,,,,87.32,5.2485,6.6392,
1981-01-19,NOK,6.157,,,,,4.381,286.8,,,84.75,,12.605,,,,,,,,83.55,2.588,,,,,5.027,,,,,,117.4,,,,,87.37,5.2125,6.619560000000001,
1981-01-20,NOK,6.1916,,,,,4.3975,287.6,,,84.95,,12.63,,,,,,,,83.9,2.5989999999999998,,,,,5.0548,,,,,,118.15,,,,,87.7,5.235,6.6425899999999976,
