Date,3 years,5 years,10 years
1986-01-03,,13.63,13.49
1986-01-10,,13.64,13.48
1986-01-17,,13.58,13.49
1986-01-24,,13.63,13.5
1986-01-31,,13.6,13.51
1986-02-07,,13.59,13.49
1986-02-14,,13.6,13.48
1986-02-21,,13.62,13.47
1986-02-28,,13.58,13.46
1986-03-07,,13.6,13.46
1986-03-14,,13.62,13.42
1986-03-21,,13.56,13.33
1986-03-28,,13.51,13.26
1986-04-04,,13.47,13.17
1986-04-11,,13.56,13.1
1986-04-18,,13.44,13.0
1986-04-25,,13.44,12.94
1986-05-02,,13.37,12.86
1986-05-09,,13.55,13.12
1986-05-16,,13.39,12.87
1986-05-23,,13.52,13.02
1986-05-30,,13.48,13.21
1986-06-06,,13.49,13.23
1986-06-13,,13.55,13.28
1986-06-20,,13.56,13.25
1986-06-27,,13.56,13.3
1986-07-04,,13.62,13.33
1986-07-11,,13.63,13.34
1986-07-18,,13.63,13.36
1986-07-25,,13.63,13.37
1986-08-01,,13.59,13.36
1986-08-08,,13.59,13.36
1986-08-15,,13.6,13.35
1986-08-22,,13.59,13.35
1986-08-29,,13.61,13.33
1986-09-05,,13.6,13.33
1986-09-12,,13.63,13.34
1986-09-19,,13.43,13.09
1986-09-26,,13.41,13.09
1986-10-03,,13.4,13.09
1986-10-10,,13.34,13.12
1986-10-17,,13.41,13.12
1986-10-24,,13.41,13.14
1987-01-02,,13.86,13.49
1987-01-09,,13.81,13.56
1987-01-16,,13.87,13.63
1987-01-23,,13.88,13.67
1987-01-30,,13.73,13.42
1987-02-06,,13.74,13.37
1987-02-13,,13.73,13.4
1987-02-20,,13.7,13.42
1987-02-27,,13.71,13.44
1987-03-06,13.87,13.65,13.37
1987-03-13,13.78,13.59,13.41
1987-03-20,13.79,13.65,13.41
1987-03-27,13.86,13.64,13.4
1987-04-03,13.87,13.66,13.4
1987-04-10,13.87,13.66,13.34
1987-04-17,13.88,13.61,13.36
1987-04-24,13.89,13.65,13.4
1987-05-01,13.9,13.66,13.41
1987-05-08,13.9,13.66,13.41
1987-05-15,13.91,13.64,13.43
1987-05-29,13.98,13.61,13.45
1987-06-05,13.99,13.67,13.47
1987-06-12,14.03,13.68,13.47
1987-06-19,14.04,13.69,13.44
1987-06-26,14.05,13.68,13.47
1987-07-03,14.09,13.69,13.48
1987-07-10,14.1,13.69,13.43
1987-07-17,13.96,13.65,13.44
1987-07-24,14.06,13.65,13.4
1987-07-31,13.96,13.57,13.42
1987-08-07,14.03,13.62,13.35
1987-08-14,14.07,13.61,13.35
1987-08-21,14.11,13.54,13.21
1987-08-28,13.87,13.48,13.15
1987-09-04,12.78,13.47,12.83
1987-09-11,13.3,13.22,12.77
1987-09-18,13.38,13.13,12.76
1987-09-25,13.31,13.09,12.7
1987-10-02,13.09,13.03,12.75
1987-10-09,13.14,13.12,12.87
1987-10-16,13.4,13.25,12.92
