Date,1 Week,1 Month,2 Months,3 Months,6 Months
2020-01-02,1.57,1.65,1.75,1.85,1.97
2020-01-03,1.55,1.65,1.75,1.87,1.98
2020-01-06,1.55,1.64,1.75,1.85,1.98
2020-01-07,1.53,1.63,1.74,1.86,1.98
2020-01-08,1.58,1.65,1.76,1.87,1.98
2020-01-09,1.58,1.65,1.76,1.88,1.97
2020-01-10,1.58,1.64,1.75,1.87,1.96
2020-01-13,1.59,1.63,1.74,1.86,1.96
2020-01-14,1.6,1.64,1.73,1.85,1.95
2020-01-15,1.6,1.64,1.72,1.84,1.95
2020-01-16,1.63,1.64,1.73,1.83,1.94
2020-01-17,1.6,1.63,1.72,1.83,1.93
2020-01-20,1.6,1.64,1.72,1.83,1.93
2020-01-21,1.57,1.64,1.71,1.83,1.93
2020-01-22,1.57,1.64,1.71,1.82,1.93
2020-01-23,1.57,1.63,1.7,1.81,1.91
2020-01-24,1.58,1.64,1.7,1.8,1.91
2020-01-27,1.58,1.65,1.71,1.8,1.91
2020-01-28,1.58,1.65,1.71,1.8,1.92
2020-01-29,1.58,1.65,1.71,1.8,1.91
2020-01-30,1.58,1.64,1.7,1.79,1.9
2020-01-31,1.57,1.64,1.69,1.77,1.89
2020-02-03,1.57,1.63,1.68,1.75,1.86
2020-02-04,1.55,1.62,1.67,1.74,1.85
2020-02-05,1.55,1.61,1.66,1.73,1.84
2020-02-06,1.57,1.62,1.67,1.73,1.84
2020-02-07,1.61,1.64,1.69,1.75,1.85
2020-02-10,1.61,1.63,1.68,1.76,1.86
2020-02-11,1.61,1.63,1.68,1.75,1.86
2020-02-12,1.6,1.63,1.68,1.76,1.87
2020-02-13,1.62,1.63,1.69,1.77,1.87
2020-02-14,1.62,1.64,1.69,1.76,1.86
2020-02-17,1.62,1.64,1.69,1.75,1.86
2020-02-18,1.62,1.64,1.69,1.75,1.86
2020-02-19,1.61,1.64,1.69,1.76,1.85
2020-02-20,1.6,1.64,1.69,1.75,1.85
2020-02-24,1.62,1.65,1.69,1.75,1.84
2020-02-25,1.61,1.64,1.69,1.74,1.81
2020-02-26,1.61,1.64,1.69,1.74,1.8
2020-02-27,1.61,1.63,1.69,1.74,1.79
2020-02-28,1.57,1.62,1.67,1.72,1.76
2020-03-02,1.57,1.6,1.67,1.71,1.75
2020-03-03,1.61,1.6,1.65,1.68,1.72
2020-03-04,1.57,1.56,1.59,1.62,1.64
