Date,Rate,Volume,Qualifier,Banks lending,Banks borrowing,Transactions
2011-09-30,2.69,4659.0,Traded,0.0,0.0,0.0
2011-10-03,2.29,0.0,Estimated,0.0,0.0,0.0
2011-10-04,2.19,7999.0,Traded,0.0,0.0,0.0
2011-10-05,2.21,5652.0,Traded,0.0,0.0,0.0
2011-10-06,2.25,6560.0,Traded,0.0,0.0,0.0
2011-10-07,2.2,8946.0,Traded,0.0,0.0,0.0
2011-10-10,2.23,9578.0,Traded,0.0,0.0,0.0
2011-10-11,2.23,9896.0,Traded,0.0,0.0,0.0
2011-10-12,2.26,7676.0,Traded,0.0,0.0,0.0
2011-10-13,2.18,9746.0,Traded,0.0,0.0,0.0
2011-10-14,2.31,4267.0,Traded,0.0,0.0,0.0
2011-10-17,2.22,12807.0,Traded,0.0,0.0,0.0
2011-10-18,2.25,15538.0,Traded,0.0,0.0,0.0
2011-10-19,2.2,12423.0,Traded,0.0,0.0,0.0
2011-10-20,2.23,12166.0,Traded,0.0,0.0,0.0
2011-10-21,2.22,8520.0,Traded,0.0,0.0,0.0
2011-10-24,2.24,0.0,Estimated,0.0,0.0,0.0
2011-10-25,2.22,8416.0,Traded,0.0,0.0,0.0
2011-10-26,2.21,9592.0,Traded,0.0,0.0,0.0
2011-10-27,2.25,7234.0,Traded,0.0,0.0,0.0
2011-10-28,2.36,3548.0,Traded,0.0,0.0,0.0
2011-10-31,2.23,4324.0,Traded,0.0,0.0,0.0
2011-11-01,2.23,2927.0,Traded,0.0,0.0,0.0
2011-11-02,2.24,6459.0,Traded,0.0,0.0,0.0
2011-11-03,2.21,8856.0,Traded,0.0,0.0,0.0
2011-11-04,2.27,1805.0,Traded,0.0,0.0,0.0
2011-11-07,2.36,1624.0,Traded,0.0,0.0,0.0
2011-11-08,2.24,6127.0,Traded,0.0,0.0,0.0
2011-11-09,2.21,8351.0,Traded,0.0,0.0,0.0
2011-11-10,2.24,5403.0,Traded,0.0,0.0,0.0
2011-11-11,2.24,6638.0,Traded,0.0,0.0,0.0
2011-11-14,2.22,7999.0,Traded,0.0,0.0,0.0
2011-11-15,2.26,17810.0,Traded,0.0,0.0,0.0
2011-11-16,2.27,12036.0,Traded,0.0,0.0,0.0
2011-11-17,2.26,14557.0,Traded,0.0,0.0,0.0
2011-11-18,2.22,4403.0,Traded,0.0,0.0,0.0
2011-11-21,2.28,11419.0,Traded,0.0,0.0,0.0
2011-11-22,2.24,17149.0,Traded,0.0,0.0,0.0
2011-11-23,2.24,12216.0,Traded,0.0,0.0,0.0
2011-11-24,2.22,12131.0,Traded,0.0,0.0,0.0
2011-11-25,2.25,7367.0,Traded,0.0,0.0,0.0
2011-11-28,2.25,12963.0,Traded,0.0,0.0,0.0
2011-11-29,2.25,3495.0,Traded,0.0,0.0,0.0
2011-11-30,2.2,14288.0,Traded,0.0,0.0,0.0
2011-12-01,2.2,17558.0,Traded,0.0,0.0,0.0
2011-12-02,2.2,4693.0,Traded,0.0,0.0,0.0
2011-12-05,2.2,5238.0,Traded,0.0,0.0,0.0
2011-12-06,2.21,6110.0,Traded,0.0,0.0,0.0
2011-12-07,2.23,5814.0,Traded,0.0,0.0,0.0
2011-12-08,2.28,3437.0,Traded,0.0,0.0,0.0
2011-12-09,2.27,3416.0,Traded,0.0,0.0,0.0
2011-12-12,2.21,7060.0,Traded,0.0,0.0,0.0
2011-12-13,2.2,15164.0,Traded,0.0,0.0,0.0
2011-12-14,2.25,3212.0,Traded,0.0,0.0,0.0
2011-12-15,1.74,6350.0,Traded,0.0,0.0,0.0
2011-12-16,1.78,9028.0,Traded,0.0,0.0,0.0
2011-12-19,1.74,6551.0,Traded,0.0,0.0,0.0
2011-12-20,1.76,5472.0,Traded,0.0,0.0,0.0
2011-12-21,1.71,13872.0,Traded,0.0,0.0,0.0
2011-12-22,1.78,2440.0,Traded,0.0,0.0,0.0
2011-12-23,1.76,2828.0,Traded,0.0,0.0,0.0
2011-12-27,1.72,5647.0,Traded,0.0,0.0,0.0
2011-12-28,1.7,7695.0,Traded,0.0,0.0,0.0
2011-12-29,1.71,2517.0,Traded,0.0,0.0,0.0
2011-12-30,2.02,0.0,Estimated,0.0,0.0,0.0
2012-01-02,1.78,2873.0,Traded,0.0,0.0,0.0
2012-01-03,1.72,1735.0,Traded,0.0,0.0,0.0
2012-01-04,1.74,2789.0,Traded,0.0,0.0,0.0
2012-01-05,1.72,5101.0,Traded,0.0,0.0,0.0
2012-01-06,1.74,5956.0,Traded,0.0,0.0,0.0
2012-01-09,1.73,12845.0,Traded,0.0,0.0,0.0
2012-01-10,1.73,11401.0,Traded,0.0,0.0,0.0
2012-01-11,1.72,17896.0,Traded,0.0,0.0,0.0
