Date,3 months,6 months,9 months,12 months
2003-01-08,6.09,5.75,5.61,5.49
2003-01-09,6.07,5.74,5.59,5.49
2003-01-10,6.08,5.72,5.59,5.48
2003-01-13,6.05,5.67,5.49,5.41
2003-01-14,5.98,5.61,5.5,5.47
2003-01-15,5.98,5.64,5.52,5.47
2003-01-16,5.97,5.68,5.57,5.52
2003-01-17,5.96,5.67,5.52,5.43
2003-01-20,5.95,5.67,5.54,5.43
2003-01-21,5.92,5.63,5.49,5.37
2003-01-22,5.93,5.57,5.44,5.36
2003-01-23,5.98,5.61,5.49,5.4
2003-01-24,5.98,5.62,5.51,5.43
2003-01-27,5.96,5.62,5.51,5.43
2003-01-28,5.96,5.61,5.47,5.33
2003-01-29,5.96,5.6,5.47,5.37
2003-01-30,5.93,5.61,5.44,5.29
2003-01-31,5.88,5.54,5.38,5.26
2003-02-03,5.87,5.51,5.35,5.23
2003-02-04,5.84,5.48,5.32,5.2
2003-02-05,5.82,5.48,5.32,5.18
2003-02-06,5.81,5.45,5.29,5.17
2003-02-07,5.79,5.45,5.29,5.16
2003-02-10,5.79,5.45,5.28,5.12
2003-02-11,5.82,5.5,5.31,5.11
2003-02-12,5.8,5.51,5.31,5.11
2003-02-13,5.76,5.46,5.3,5.15
2003-02-14,5.77,5.45,5.29,5.14
2003-02-17,5.76,5.44,5.29,5.15
2003-02-18,5.76,5.43,5.23,5.02
2003-02-19,5.65,5.38,5.23,5.05
2003-02-20,5.6,5.34,5.16,4.99
2003-02-21,5.56,5.26,5.08,4.89
2003-02-24,5.47,5.2,4.99,4.78
2003-02-25,5.49,5.14,4.93,4.75
2003-02-26,5.47,5.16,5.01,4.9
2003-02-27,5.36,5.15,4.95,4.75
2003-02-28,5.39,5.23,5.02,4.81
2003-03-03,5.41,5.16,5.05,4.96
2003-03-04,,5.09,5.05,5.04
2003-03-05,5.36,5.12,4.99,4.87
2003-03-06,5.26,5.11,5.01,4.92
2003-03-07,5.27,5.22,5.14,5.06
2003-03-10,5.35,5.23,5.09,4.96
2003-03-11,5.31,5.23,5.07,4.91
2003-03-12,5.35,5.23,5.1,4.98
2003-03-13,5.32,5.25,5.11,4.98
2003-03-14,5.38,5.24,5.11,4.98
2003-03-17,5.26,5.19,5.06,4.93
2003-03-18,5.47,5.17,5.04,4.9
2003-03-19,5.37,5.2,5.16,5.12
2003-03-20,5.29,5.22,5.14,5.07
2003-03-21,5.25,5.18,5.07,4.97
2003-03-24,5.31,5.12,5.11,5.09
2003-03-25,5.27,5.21,5.09,4.98
2003-03-26,5.21,5.14,5.1,5.06
2003-03-27,5.18,5.13,5.03,4.94
2003-03-28,5.19,5.06,5.06,5.03
2003-03-31,5.21,5.14,5.09,5.03
2003-04-01,5.39,5.18,5.01,4.85
2003-04-02,5.32,5.14,5.04,5.04
2003-04-07,5.2,5.07,4.93,4.9
2003-04-08,5.2,5.07,4.96,4.92
2003-04-09,5.28,5.05,4.93,4.88
2003-04-10,5.23,4.93,4.81,4.81
2003-04-11,5.22,4.94,4.81,4.73
2003-04-14,5.2,4.95,4.84,4.75
2003-04-15,5.19,4.95,4.83,4.73
2003-04-16,5.07,4.9,4.82,4.77
2003-04-22,5.12,4.89,4.79,4.75
2003-04-23,5.11,4.86,4.82,4.76
2003-04-24,5.06,4.83,4.72,4.68
2003-04-25,5.0,4.8,4.68,4.62
2003-04-28,4.88,4.74,4.67,4.63
2003-04-29,4.92,4.74,4.68,4.66
2003-04-30,4.89,4.78,4.67,4.57
2003-05-02,4.87,4.65,4.54,4.45
2003-05-05,4.9,4.67,4.48,4.3
2003-05-06,4.92,4.62,4.49,4.46
2003-05-07,4.88,4.61,4.45,4.38
2003-05-08,4.85,4.61,4.46,4.34
2003-05-09,4.84,4.63,4.47,4.33
2003-05-12,4.81,4.56,4.41,4.28
2003-05-13,4.81,4.53,4.36,4.27
2003-05-14,4.83,4.6,4.42,4.26
2003-05-15,4.84,4.6,4.42,4.27
2003-05-16,4.84,4.56,4.41,4.3
2003-05-19,4.79,4.51,4.28,4.07
2003-05-20,4.83,4.5,4.36,4.27
2003-05-21,4.73,4.42,4.29,4.22
